Year,Sex,Race,Population
2023,Male,Hispanic or Latino (of any race),"32,244,437"
2023,Male,White alone,"94,717,082"
2023,Male,Black or African American alone,"19,586,809"
2023,Male,American Indian and Alaska Native alone,"857,970"
2023,Male,Asian alone,"9,786,027"
2023,Male,Native Hawaiian and Other Pacific Islander alone,"293,078"
2023,Male,Other,"8,297,470"
2023,Female,Hispanic or Latino (of any race),"32,895,840"
2023,Female,White alone,"96,630,558"
2023,Female,Black or African American alone,"19,982,503"
2023,Female,American Indian and Alaska Native alone,"875,302"
2023,Female,Asian alone,"9,983,725"
2023,Female,Native Hawaiian and Other Pacific Islander alone,"298,999"
2023,Female,Other,"8,465,096"
2022,Male,Hispanic or Latino (of any race),"31,522,605"
2022,Male,White alone,"95,307,926"
2022,Male,Black or African American alone,"19,633,149"
2022,Male,American Indian and Alaska Native alone,"868,243"
2022,Male,Asian alone,"9,629,964"
2022,Male,Native Hawaiian and Other Pacific Islander alone,"292,808"
2022,Male,Other,"8,055,936"
2022,Female,Hispanic or Latino (of any race),"32,031,034"
2022,Female,White alone,"96,845,150"
2022,Female,Black or African American alone,"19,949,812"
2022,Female,American Indian and Alaska Native alone,"882,246"
2022,Female,Asian alone,"9,785,287"
2022,Female,Native Hawaiian and Other Pacific Islander alone,"297,531"
2022,Female,Other,"8,185,871"
2021,Male,Hispanic or Latino (of any race),"30,951,887"
2021,Male,White alone,"95,413,174"
2021,Male,Black or African American alone,"19,438,302"
2021,Male,American Indian and Alaska Native alone,"866,186"
2021,Male,Asian alone,"9,350,080"
2021,Male,Native Hawaiian and Other Pacific Islander alone,"276,565"
2021,Male,Other,"7,991,210"
2021,Female,Hispanic or Latino (of any race),"31,577,177"
2021,Female,White alone,"97,340,713"
2021,Female,Black or African American alone,"19,830,995"
2021,Female,American Indian and Alaska Native alone,"883,685"
2021,Female,Asian alone,"9,538,970"
2021,Female,Native Hawaiian and Other Pacific Islander alone,"282,152"
2021,Female,Other,"8,152,649"
